"","Euryarchaeota","Actinobacteria","Bacteroidetes","Deinococcus_Thermus","Firmicutes","Fusobacteria","Proteobacteria","Spirochaetes","Synergistetes","Verrucomicrobia","Ascomycota","Viruses_noname"
"PD.31.PC",0,0.17053,75.93567,0,22.42029,0,0.98087,0,0,0,0,0
"PD.31",0,2.63789,49.3169,0,19.87869,0,18.67822,0,0,9.4761,0,0
"PD.32.PC",0,0.52614,66.2378,0,32.74785,0,0.13111,0,0,0.35712,0,0
"PD.32",10.38393,18.12062,36.33343,0.01608,18.4129,0,0.75109,0,0,15.97201,0,0.00996
"PD.33.PC",0,0.24097,56.45586,0,41.13717,0,2.16599,0,0,0,0,0
"PD.33",0,0.21888,94.07474,0,5.47184,0,0.12305,0,0,0.11147,0,0
"PD.34.PC",0,1.42186,66.35409,0,27.26978,0,0.85951,0,0,4.09475,0,0
"PD.34",0,12.57099,54.1522,0,29.13373,0,2.03523,0,0,0.00164,0,2.09783
"PD.35.PC",0,7.71244,41.89382,0,49.3831,0,0,0,0,1.01066,0,0
"PD.35",10.42115,4.17903,20.81247,0,45.70831,0,1.05921,0,0,17.81979,0,0
"PD.36.PC",0,1.08472,46.45349,0,47.42358,0,4.97526,0,0,0,0,0
"PD.36",0,1.1545,53.72999,0,43.94639,0,1.1691,0,0,0,0,0
"PD.37.PC",0,1.27737,57.508,0,40.83212,0,0.38248,0,0,0,0,0
"PD.37",0,7.00912,73.04584,0,18.48479,0,0.47296,0,0,0.98728,0,0
"PD.38.PC",0,0.94802,56.20343,0,42.44775,0,0.40079,0,0,0,0,0
"PD.38",0,2.91886,73.90982,0,22.2449,0,0.92641,0,0,0,0,0
"PD.39.PC",0,0.15739,58.1555,0,40.56081,0,1.12629,0,0,0,0,0
"PD.39",0.91533,0.21587,73.52987,0,24.77571,0,0.25028,0,0,0.19597,0,0
"PD.3.HC",0,0.04445,85.3044,0,13.95887,0,0.58544,0,0,0.10009,0,0
"PD.3.PC",0,0.05572,94.62771,0,4.37647,0,0.94013,0,0,0,0,0
"PD.3",3.5492,1.60407,39.40281,0,51.59702,0,2.92613,0,0,0.91207,0,0
"PD.40.PC",0,0.3021,58.54408,0,40.01712,0,0.69329,0,0,0,0,0
"PD.40",2.4966,0.75049,74.95795,0,20.4134,0,1.15038,0,0,0.05797,0,0.17321
"PD.41.PC",5.02255,11.86383,18.63243,0,63.733,0,0.5205,0,0,0,0,0.22771
"PD.41",0,13.30831,2.90123,0,83.59169,0.00374,0.16206,0,0,0.03297,0,0
"PD.42",0,0.34714,44.96353,0,46.97514,0,0.76595,0,0,6.94827,0,0
"PD.43",0,1.32658,55.88277,0,36.22986,0,1.1337,0,0,4.48727,0,0.93986
"PD.44",5.98519,2.87092,25.28094,0,65.05368,0,0.51619,0,0,0.27662,0,0
"PD.45",0,1.70884,26.62406,0,71.26373,0,0.39995,0,0,0,0,0
"PD.46",0,3.47627,30.95267,0,56.90211,0,0,0,0,8.5474,0,0.12156
"PD.47",0,0.49879,63.8414,0,28.26098,0,0.88171,0,0,6.42898,0,0.03855
"PD.48",2.83155,2.78939,56.3248,0,27.53409,0,1.17244,0,0,9.32605,0,0
"PD.4.HC",0.24645,0.47846,77.04948,0,21.67125,0,0.40461,0,0,0.13042,0,0.01933
"PD.4.PC",0,0.07304,39.26885,0,42.43622,0,4.07844,0,0,14.14345,0,0
"PD.4",0.21286,0.05378,57.87126,0,12.98854,0,1.83352,0,0,27.04002,0,0
"PD.5.HC",0,0.07755,86.88726,0,9.82237,0,0.26566,0,0,2.94716,0,0
"PD.5.PC",0.99432,0.47487,64.30032,0,33.50128,0,0.58753,0,0,0,0,0.04651
"PD.5",0.48589,1.20183,76.53036,0,16.51161,0,1.49048,0,0,3.77984,0,0
"PD.6.HC",0,0.22406,69.4581,0,28.8653,0,0.95775,0,0,0,0,0
"PD.6.PC",1.135,0.44091,33.71493,0,53.5996,0,3.22318,0,0,7.88637,0,0
"PD.6",0.99571,1.45103,39.89864,0,42.45613,0,0.76195,0,0,14.4366,0,0
"PD.7.HC",0.5817,0.86324,75.35425,0,22.61504,0,0.28735,0,0,0.29842,0,0
"PD.7.PC",2.30946,0.0198,48.39122,0,45.40211,0,1.91263,0,0,1.86159,0,0
"PD.7",0.86609,1.34577,35.96048,0,58.86731,0,2.79416,0,0,0.0571,0,0.10913
"PD.8.HC",0,0.19039,83.62153,0,16.10042,0,0.064,0,0,0.02363,0,0
"PD.8.PC",0,0.18503,56.05996,0,34.05479,0,0.7468,0,0,8.79601,0,0.06359
"PD.8",0,0.9072,92.98698,0,4.3601,1.6724,0.07333,0,0,0,0,0
"PD.9.HC",0,0.2908,77.13196,0,21.58131,0,0.23327,0,0,0.60138,0,0.16125
"PD.9.PC",0.8353,0.45382,71.18119,0,25.94516,0,1.12816,0,0,0.332,0,0
"PD.9",0,2.20774,0.01196,0,70.51834,0.10466,26.8042,0,0,0,0,0.34014
